rank,score,job_id,tab,position,company,title,url,reasons
37,41.11,reco-020926920887,you_might_like,13,Leading Client,AI/ML Engineer,https://www.naukri.com/job-listings-020926920887,"✓ Excellent role relevance for ai, ml | ✓ Strong core tech match (python, ai, ml, nlp) | ✓ Matched secondary skills (aws) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match"
38,40.94,reco-010926504640,profile,18,Sapiens,AI Solution Engineer,https://www.naukri.com/job-listings-010926504640,✓ Excellent role relevance for ai | ✓ Strong core tech match (ai) | ✓ Matched secondary skills (api) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ High-priority profile recommendation
39,40.91,reco-020926020596,default,35,A client of Cloud Talent Search,Junior Software Developer,https://www.naukri.com/job-listings-020926020596,✓ Strong core tech match (ai) | ✓ Matched secondary skills (backend) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ Recommended feed match
40,40.89,reco-020926503267,you_might_like,26,Aufait Technologies,AI/ML Engineer,https://www.naukri.com/job-listings-020926503267,"✓ Excellent role relevance for ai, ml | ✓ Strong core tech match (ai, artificial intelligence, machine learning, ml) | ✓ Matched secondary skills (aws, docker) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match"
41,40.88,reco-160626031119,default,22,Synamedia,Software Engineer,https://www.naukri.com/job-listings-160626031119,"✓ Matched secondary skills (node, mongodb, aws) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ Recommended feed match"
42,40.66,reco-020926925700,top_candidate,4,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-020926925700,"✓ Strong core tech match (ai, generative ai) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Top candidate feed match | ✓ Top feed position (#4)"
43,40.60,reco-020926925843,top_candidate,3,Accenture,Data Engineer,https://www.naukri.com/job-listings-020926925843,✓ Excellent role relevance for data engineer | ✓ Strong core tech match (ai) | ✓ Matched secondary skills (react) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Top candidate feed match | ✓ Top feed position (#3)
44,40.26,reco-020926503621,preferences,25,Ekon Solutions,Software Developer,https://www.naukri.com/job-listings-020926503621,✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ Recommended feed match
45,40.15,reco-020926927265,preferences,6,S&P Global Market Intelligence,Software Engineer - Python,https://www.naukri.com/job-listings-020926927265,"✓ Excellent role relevance for python | ✓ Strong core tech match (python, ai) | ✓ Matched secondary skills (api, aws) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match"
46,39.91,reco-080726038541,other,49,DAZN,Conversational AI Developer,https://www.naukri.com/job-listings-080726038541,"✓ Excellent role relevance for ai | ✓ Strong core tech match (ai, artificial intelligence, generative ai, chatbot) | ✓ Matched secondary skills (api, agent) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match"
47,39.74,reco-290826006486,other,39,Hiring for - Leading IT Co.,Prompt Engineer | Leading IT Co. | WFH,https://www.naukri.com/job-listings-290826006486,"✓ Strong core tech match (ai, artificial intelligence, machine learning, generative ai) | ✓ Experience range perfectly fits role | ✓ Posted 5 days ago | ✓ Recommended feed match"
48,39.69,reco-010926922238,default,50,Accenture,LLM Full Stack Engineer,https://www.naukri.com/job-listings-010926922238,"✓ Excellent role relevance for llm | ✓ Strong core tech match (ai, artificial intelligence, ml, generative ai) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match"
49,39.65,reco-020926928147,other,45,Optum,Associate Software Engineer II,https://www.naukri.com/job-listings-020926928147,✓ Strong core tech match (ai) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ Recommended feed match
50,39.64,reco-020926503931,you_might_like,18,DRC Infotech,AI / ML Professional,https://www.naukri.com/job-listings-020926503931,"✓ Excellent role relevance for ai, ml | ✓ Strong core tech match (python, ai, ml) | ✓ Matched secondary skills (javascript) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match"
51,39.49,reco-010926915083,you_might_like,28,Capgemini,Data Engineer - IGA,https://www.naukri.com/job-listings-010926915083,"✓ Excellent role relevance for data engineer | ✓ Strong core tech match (python, ai) | ✓ Experience range perfectly fits role | ✓ Posted 2 days ago | ✓ Recommended feed match"
52,39.19,reco-010926505674,you_might_like,45,Nucleusteq Consulting,Python Developer,https://www.naukri.com/job-listings-010926505674,"✓ Excellent role relevance for python | ✓ Strong core tech match (python, django, ai, ml) | ✓ Matched secondary skills (javascript, backend, postgresql) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match"
53,39.14,reco-020926036763,other,13,Icertis,Software Engineer,https://www.naukri.com/job-listings-020926036763,✓ Matched secondary skills (kubernetes) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ Recommended feed match
54,39.12,reco-010926506007,default,17,Concentric,Software Engineer (Java),https://www.naukri.com/job-listings-010926506007,✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ Recommended feed match
55,38.81,reco-010926021826,you_might_like,30,EY,Cyber AI Engineer,https://www.naukri.com/job-listings-010926021826,"✓ Excellent role relevance for ai | ✓ Strong core tech match (python, ai, artificial intelligence, machine learning) | ✓ Matched secondary skills (aws) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match"
56,38.57,reco-010926029889,default,27,Smart Source,Senior Artificial Intelligence Engineer,https://www.naukri.com/job-listings-010926029889,"✓ Strong core tech match (python, ai, artificial intelligence, ml) | ✓ Matched secondary skills (agent) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match | ✓ Disclosed salary (12.0 LPA)"
57,38.52,reco-310826923160,default,6,Entrata India,Software Engineer,https://www.naukri.com/job-listings-310826923160,✓ Strong core tech match (python) | ✓ Experience range perfectly fits role | ✓ Posted 2 days ago | ✓ Recommended feed match
58,38.46,reco-310826505799,profile,10,mPokket,AI App Developer,https://www.naukri.com/job-listings-310826505799,✓ Excellent role relevance for ai | ✓ Strong core tech match (ai) | ✓ Matched secondary skills (backend) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 2 days ago | ✓ High-priority profile recommendation
59,38.41,reco-020926005578,preferences,33,Quess Corp,Full Stack Developer Java jQuery AI-Assisted Development,https://www.naukri.com/job-listings-020926005578,"✓ Excellent role relevance for ai | ✓ Strong core tech match (ai) | ✓ Matched secondary skills (javascript, frontend, api) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match"
60,38.13,reco-310826503298,profile,15,Mykaarma,Software Developer I,https://www.naukri.com/job-listings-310826503298,✓ Slightly above target experience range | ✓ Posted 2 days ago | ✓ High-priority profile recommendation
61,38.05,reco-010926037601,default,2,Quess,Software Engineer,https://www.naukri.com/job-listings-010926037601,"✓ Strong core tech match (ai, ml) | ✓ Matched secondary skills (javascript, typescript, frontend) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match | ✓ Top feed position (#2) | ✓ Disclosed salary (5.0 LPA)"
62,38.03,reco-020926927838,other,51,Fujitsu,GenAI - Application Developer - 11312,https://www.naukri.com/job-listings-020926927838,"✓ Excellent role relevance for ai, genai | ✓ Strong core tech match (ai, genai) | ✓ Matched secondary skills (api, aws, agent) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match"
63,37.73,reco-010926018544,default,45,EY,Senior Consultant - Model Validator - Generative AI,https://www.naukri.com/job-listings-010926018544,"✓ Excellent role relevance for ai | ✓ Strong core tech match (python, ai, ml, generative ai) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 2 days ago | ✓ Recommended feed match"
64,37.73,reco-020926012947,you_might_like,50,Novizco Infotech,"Full Stack Developer ( Python , FastAPI, Azure)",https://www.naukri.com/job-listings-020926012947,"✓ Excellent role relevance for python | ✓ Strong core tech match (python, fastapi, rag) | ✓ Matched secondary skills (frontend, backend, api) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match | ✓ Disclosed salary (4.0 LPA)"
65,37.69,reco-020926033318,other,1,EY,Python Developer,https://www.naukri.com/job-listings-020926033318,"✓ Excellent role relevance for python | ✓ Strong core tech match (python, django) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match | ✓ Top feed position (#1)"
66,37.63,reco-020926019041,other,7,Neurealm,Software Engineer,https://www.naukri.com/job-listings-020926019041,"✓ Strong core tech match (python, fastapi, django) | ✓ Matched secondary skills (api, rest) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match"
67,37.47,reco-310826026886,default,57,Amtech,Software Engineer -C# / .Net,https://www.naukri.com/job-listings-310826026886,✓ Strong core tech match (ai) | ✓ Matched secondary skills (aws) | ✓ Experience range perfectly fits role | ✓ Posted 2 days ago | ✓ Recommended feed match
68,37.39,reco-010926013206,you_might_like,11,NCR Voyix,AI Engineer,https://www.naukri.com/job-listings-010926013206,"✓ Excellent role relevance for ai | ✓ Strong core tech match (ai, artificial intelligence, machine learning, generative ai) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 2 days ago | ✓ Recommended feed match | ✓ Disclosed salary (5.5 LPA)"
69,36.55,reco-310826918972,other,34,R1 RCM,Software Engineer I,https://www.naukri.com/job-listings-310826918972,✓ Strong core tech match (python) | ✓ Experience range perfectly fits role | ✓ Posted 2 days ago | ✓ Recommended feed match
70,36.41,reco-310826501830,default,33,EY,FS - RC - FSRM - QTB - MRM - AI - SENIOR Professional,https://www.naukri.com/job-listings-310826501830,"✓ Excellent role relevance for ai | ✓ Strong core tech match (python, ai, ml, genai) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 2 days ago | ✓ Recommended feed match"
71,36.27,reco-010926038046,you_might_like,7,Ilink Talent Solutions,Java AWS Software Engineer,https://www.naukri.com/job-listings-010926038046,"✓ Strong core tech match (python, ai) | ✓ Matched secondary skills (aws, docker) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match | ✓ Disclosed salary (3.0 LPA)"
72,36.27,reco-310826920715,preferences,23,Millennium Consulting,Full Stack Developer (Frontend/Angular & Python),https://www.naukri.com/job-listings-310826920715,"✓ Excellent role relevance for python | ✓ Strong core tech match (python) | ✓ Matched secondary skills (frontend, api, rest) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 2 days ago | ✓ Recommended feed match"
73,36.01,reco-310826916711,preferences,35,Iris Software,Agentic AI - Senior Engineer,https://www.naukri.com/job-listings-310826916711,"✓ Excellent role relevance for ai, agent | ✓ Strong core tech match (ai) | ✓ Matched secondary skills (agent) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 2 days ago | ✓ Recommended feed match"
74,35.81,reco-310826015969,other,14,Vistateq Virtuosity,AWS Backend Engineer,https://www.naukri.com/job-listings-310826015969,"✓ Excellent role relevance for backend | ✓ Strong core tech match (python, ai) | ✓ Matched secondary skills (node, typescript, backend) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 2 days ago | ✓ Recommended feed match"
75,35.76,reco-310826919717,default,41,Ecolab Global Services,Software Engineer,https://www.naukri.com/job-listings-310826919717,✓ Experience range perfectly fits role | ✓ Posted 2 days ago | ✓ Recommended feed match
76,35.61,reco-020926501336,you_might_like,47,Hanu Reddy Realty,Software Engineer,https://www.naukri.com/job-listings-020926501336,"✓ Strong core tech match (ai, ml, rag) | ✓ Matched secondary skills (aws) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match"
77,35.51,reco-010926933266,you_might_like,15,UPS Supply Chain Solutions (UPS SCS),Senior Software Engineer,https://www.naukri.com/job-listings-010926933266,"✓ Strong core tech match (ai, ml) | ✓ Matched secondary skills (rest) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match"
78,35.51,reco-010926932431,default,30,HMH Technology Private Limited,Software Engineer,https://www.naukri.com/job-listings-010926932431,"✓ Strong core tech match (ai, artificial intelligence) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match"
79,35.50,reco-310826502450,you_might_like,20,Ciber,AWS Connect + Claude AI Developer,https://www.naukri.com/job-listings-310826502450,"✓ Excellent role relevance for ai | ✓ Strong core tech match (ai, generative ai, llm) | ✓ Matched secondary skills (aws) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 2 days ago | ✓ Recommended feed match"
80,35.35,reco-020926021176,you_might_like,8,Trimble,Software Engineer 2,https://www.naukri.com/job-listings-020926021176,"✓ Strong core tech match (python, ai) | ✓ Matched secondary skills (api) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match | ✓ Disclosed salary (0.0 LPA)"
81,35.20,reco-020926035755,other,20,PwC,"Data Analytics Associate (SQL,Python) - PwC",https://www.naukri.com/job-listings-020926035755,✓ Excellent role relevance for python | ✓ Strong core tech match (python) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match
82,35.03,reco-310826025337,preferences,12,transglobal geomatics pvt ltd,Python Fullstack Developer,https://www.naukri.com/job-listings-310826025337,✓ Excellent role relevance for python | ✓ Strong core tech match (python) | ✓ Matched secondary skills (javascript) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 2 days ago | ✓ Recommended feed match | ✓ Disclosed salary (5.0 LPA)
83,34.85,reco-130726007994,you_might_like,42,Iide Education,AI Trainer/Faculty,https://www.naukri.com/job-listings-130726007994,"✓ Excellent role relevance for ai | ✓ Strong core tech match (ai, artificial intelligence, machine learning, generative ai) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 3 days ago | ✓ Recommended feed match | ✓ Disclosed salary (7.0 LPA)"
84,34.52,reco-020926022891,default,40,Conduent,Backend Developer (.NET Core / C#),https://www.naukri.com/job-listings-020926022891,"✓ Excellent role relevance for backend | ✓ Matched secondary skills (backend, api, rest) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match | ✓ Disclosed salary (4.0 LPA)"
85,34.39,reco-020926030675,other,25,Coforge,Data Engineer-II,https://www.naukri.com/job-listings-020926030675,✓ Excellent role relevance for data engineer | ✓ Strong core tech match (python) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match | ✓ Disclosed salary (12.0 LPA)
86,34.15,reco-010926034778,other,47,Anura Systems,Big Data Engineer,https://www.naukri.com/job-listings-010926034778,✓ Excellent role relevance for data engineer | ✓ Strong core tech match (ai) | ✓ Matched secondary skills (aws) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match | ✓ Disclosed salary (8.5 LPA)
87,34.08,reco-020926026637,other,44,Zingo Techservices Llp,Artificial Intelligence Engineer,https://www.naukri.com/job-listings-020926026637,"✓ Strong core tech match (ai, artificial intelligence) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match"
88,33.45,reco-280826006668,default,39,Leading Product / Edtech companies in the world,Senior Software Engineer,https://www.naukri.com/job-listings-280826006668,✓ Experience range perfectly fits role | ✓ Posted 3 days ago | ✓ Recommended feed match | ✓ Disclosed salary (20.0 LPA)
89,33.41,reco-080726027951,preferences,27,ValGenesis,"Software Engineer, Fullstack",https://www.naukri.com/job-listings-080726027951,✓ Strong core tech match (ml) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 2 days ago | ✓ Recommended feed match
